,gain,cumulative_cost
"LTB4R,FUT3,LTB4R,CLEC12A,LILRB4,FUT3,LILRB4,CLEC12A",0.0,3.193798449612403
"ITGAX,LTB4R,ITGAX,P2RY13,CLEC12A,LTB4R,CLEC12A,P2RY13",0.0,3.193798449612403
"SEMA4A,CD33,SEMA4A,CLEC12A,LTB4R,CD33,LTB4R,CLEC12A",0.0,3.193798449612403
"CR1,SEMA4A,CR1,FUT3,CD96,SEMA4A,CD96,FUT3",0.0,3.209302325581395
"SLC6A6,CD96,SLC6A6,LILRB4,P2RY13,CD96,P2RY13,LILRB4",0.0,3.224806201550387
"CR1,CD96,CR1,CD33,LTB4R,CD96,LTB4R,CD33",0.0,3.2248062015503876
"TNFRSF1B,LILRB4,TNFRSF1B,CLEC12A,LTB4R,LILRB4,LTB4R,CLEC12A",0.0,3.2248062015503876
"LTB4R,CD96,LTB4R,FUT3,P2RY13,CD96,P2RY13,FUT3",0.0,3.224806201550388
"P2RY13,CD96,P2RY13,CLEC12A,FUT3,CD96,FUT3,CLEC12A",0.0,3.2403100775193794
"CR1,CD96,CR1,CD33,CLEC12A,CD96,CLEC12A,CD33",0.0,3.24031007751938
"TNFRSF1B,CR1,TNFRSF1B,CD96,SEMA4A,CR1,SEMA4A,CD96",0.0,3.2403100775193803
"ITGAX,CR1,ITGAX,CD33,LILRB4,CR1,LILRB4,CD33",0.0,3.2558139534883717
"ITGAX,SEMA4A,ITGAX,P2RY13,CD33,SEMA4A,CD33,P2RY13",0.0,3.255813953488372
"ITGAX,P2RY13,ITGAX,LILRB4,FUT3,P2RY13,FUT3,LILRB4",0.0,3.255813953488372
"SEMA4A,FUT3,SEMA4A,CD33,LILRB4,FUT3,LILRB4,CD33",0.0,3.255813953488372
"TNFRSF1B,LTB4R,TNFRSF1B,CD96,P2RY13,LTB4R,P2RY13,CD96",0.0,3.255813953488372
"TNFRSF1B,CD96,TNFRSF1B,CLEC12A,P2RY13,CD96,P2RY13,CLEC12A",0.0,3.2713178294573644
"SLC6A6,CD96,SLC6A6,LILRB4,LTB4R,CD96,LTB4R,LILRB4",0.0,3.286821705426356
"CD82,P2RY13,CD82,LILRB4,CD96,P2RY13,CD96,LILRB4",0.0,3.2868217054263567
"TNFRSF1B,ITGAX,TNFRSF1B,LILRB4,P2RY13,ITGAX,P2RY13,LILRB4",0.0,3.2868217054263567
"CR1,LTB4R,CR1,P2RY13,CLEC12A,LTB4R,CLEC12A,P2RY13",0.0,3.2868217054263567
"TNFRSF1B,LILRB4,TNFRSF1B,CD33,SEMA4A,LILRB4,SEMA4A,CD33",0.0,3.286821705426357
"SEMA4A,LILRB4,SEMA4A,CD38,P2RY13,LILRB4,P2RY13,CD38",0.0,3.3023255813953485
"SLC6A6,CD96,SLC6A6,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,3.3023255813953485
"LTB4R,CD96,LTB4R,CLEC12A,FUT3,CD96,FUT3,CLEC12A",0.0,3.3023255813953485
"ITGAX,CD96,ITGAX,CD38,LILRB4,CD96,LILRB4,CD38",0.0,3.3178294573643408
"ITGAX,LTB4R,ITGAX,LILRB4,FUT3,LTB4R,FUT3,LILRB4",0.0,3.317829457364341
"ITGAX,SEMA4A,ITGAX,LTB4R,CD33,SEMA4A,CD33,LTB4R",0.0,3.317829457364341
"ITGAX,CD33,ITGAX,CLEC12A,SEMA4A,CD33,SEMA4A,CLEC12A",0.0,3.333333333333333
"TNFRSF1B,CD96,TNFRSF1B,CLEC12A,LTB4R,CD96,LTB4R,CLEC12A",0.0,3.3333333333333335
"ITGAX,FUT3,ITGAX,CLEC12A,LILRB4,FUT3,LILRB4,CLEC12A",0.0,3.3333333333333335
"CR1,SEMA4A,CR1,P2RY13,CD33,SEMA4A,CD33,P2RY13",0.0,3.3488372093023253
"CD82,LTB4R,CD82,LILRB4,CD96,LTB4R,CD96,LILRB4",0.0,3.3488372093023258
"CR1,P2RY13,CR1,LILRB4,FUT3,P2RY13,FUT3,LILRB4",0.0,3.3488372093023258
"TNFRSF1B,ITGAX,TNFRSF1B,LILRB4,LTB4R,ITGAX,LTB4R,LILRB4",0.0,3.3488372093023258
"SEMA4A,LILRB4,SEMA4A,CD38,LTB4R,LILRB4,LTB4R,CD38",0.0,3.3643410852713176
"TNFRSF1B,ITGAX,TNFRSF1B,CLEC12A,LILRB4,ITGAX,LILRB4,CLEC12A",0.0,3.3643410852713176
"ITGAX,CD96,ITGAX,CD33,CR1,CD96,CR1,CD33",0.0,3.3643410852713176
"SEMA4A,CD96,SEMA4A,CD33,FUT3,CD96,FUT3,CD33",0.0,3.3643410852713176
"ITGAX,CD96,ITGAX,FUT3,P2RY13,CD96,P2RY13,FUT3",0.0,3.3643410852713176
"CD82,LILRB4,CD82,CLEC12A,CD96,LILRB4,CD96,CLEC12A",0.0,3.364341085271318
"SEMA4A,CD38,SEMA4A,CLEC12A,LILRB4,CD38,LILRB4,CLEC12A",0.0,3.37984496124031
"EMC10,P2RY13,EMC10,LILRB4,CD96,P2RY13,CD96,LILRB4",0.0,3.37984496124031
"TNFRSF1B,CR1,TNFRSF1B,LILRB4,P2RY13,CR1,P2RY13,LILRB4",0.0,3.37984496124031
"SLC30A1,CD96,SLC30A1,LILRB4,SEMA4A,CD96,SEMA4A,LILRB4",0.0,3.3798449612403103
"TNFRSF1B,CD96,TNFRSF1B,FUT3,LILRB4,CD96,LILRB4,FUT3",0.0,3.395348837209302
"TNFRSF1B,CD96,TNFRSF1B,CD33,SEMA4A,CD96,SEMA4A,CD33",0.0,3.3953488372093026
"TNFRSF1B,ITGAX,TNFRSF1B,CD96,P2RY13,ITGAX,P2RY13,CD96",0.0,3.3953488372093026
